課程名稱,上課地點,開放報名,開課日期,性質
"AIoT,Robot,FinTech金融科技技術培訓班",嘉義縣民雄鄉大學路一段168號,2022/01/21,2022/03/03,青年
5G數位教學設計師培訓班,嘉義縣民雄鄉大學路1段168號,2021/04/01,2021/08/09,青年
照顧實作技術訓練B班第03期,嘉義縣太保市過溝里八德街692號2樓,2022/11/11,2022/12/11,在職
休閒連帽外套縫製進階班第01期,嘉義縣竹崎鄉竹崎村中山路76號,2022/10/19,2022/11/20,在職
LINE行銷與APP設計訓練班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/10/17,2022/11/16,在職
嬰幼兒照顧技術訓練班第02期,嘉義縣太保市過溝里八德街692號2樓,2022/10/06,2022/11/05,在職
精緻伴手禮班第01期,嘉義縣朴子市市東路3號,2022/09/27,2022/10/27,在職
數位行銷與APP設計實作班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/09/13,2022/10/27,在職
月子照護及月子餐調製訓練班第01期,嘉義縣太保市過溝里八德街692號2樓,2022/09/12,2022/10/12,在職
辦公室軟體應用技術培訓班 第01期,嘉義縣,2022/09/06,2022/10/24,職前
"AIoT,Big_Data,FinTech跨領域人才培訓暑期班",嘉義縣民雄鄉大學路一段168號 學科教室: 國立中正大學創新大樓5F/563教室 術科教室: 國立中正大學創新大樓2F/261電腦教室,2022/08/27,2022/10/07,青年
房務清潔高手暨輕食餐點製作訓練班(原住民專班) 第01期,嘉義縣,2022/08/19,2022/10/03,職前
社群行銷微影片製作實戰班第01期,嘉義縣大林鎮南華路１段55號成均館2F,2022/08/18,2022/12/18,在職
農漁產加工暨應用班第01期,嘉義縣布袋鎮六棟寮40號,2022/08/01,2022/08/31,在職
托育人員專業訓練班(職前班) 第1期,嘉義縣,2022/08/01,2022/09/17,職前
木工傢俱畫作設計A班第11期,嘉義縣竹崎鄉竹崎村中山路111號,2022/07/25,2022/08/01,在職
照顧服務員專班(東石職前班第01期) 第01期,嘉義縣,2022/07/04,2022/08/15,職前
特色料理暨原農咖啡製作培訓班(原住民專班) 第01期,嘉義縣,2022/06/24,2022/08/08,職前
坐月子餐點製作班第01期,嘉義縣民雄鄉建國路２段117號,2022/05/26,2022/06/26,在職
托育人員專業訓練班(職前班)嘉義縣補助班 第1期,嘉義縣,2022/05/23,2022/07/30,職前
風味料理烹飪暨市場行銷應用班(原住民專班) 第01期,嘉義縣,2022/05/20,2022/06/06,職前
數位媒體行銷與電子商務整合訓練班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/05/17,2022/06/28,在職
托育人員專業訓練班-朴子在職班 第01期,嘉義縣,2022/05/13,2022/06/18,職前
"AI,Big_Data,FinTech產業技術冬季培訓班",嘉義縣民雄鄉大學路一段168號,2022/05/11,2022/06/23,青年
(嘉義縣)樂齡銀養膳食調理班 第01期,嘉義縣,2022/05/03,2022/06/20,職前
數位教學設計師培訓班,嘉義縣民雄鄉大學路一段168號,2022/05/02,2022/06/28,青年
大林職前班第2期 第02期,嘉義縣,2022/05/01,2022/07/05,職前
農畜產加工暨應用班第01期,嘉義縣布袋鎮六棟寮40號,2022/04/25,2022/06/15,在職
托育人員專業訓練班-太保職前班 第01期,嘉義縣,2022/04/25,2022/05/23,職前
(嘉義縣)縫紉技能多元應用與皮革設計班(特定對象) 第01期,嘉義縣,2022/04/20,2022/08/22,職前
(嘉義縣)男子快速理髮創業班 第01期,嘉義縣,2022/04/20,2022/06/20,職前
寵物長照之犬貓經絡按摩實作班第03期,嘉義縣大林鎮南華路１段55號3樓,2022/04/14,2022/06/26,在職
新世代中餐人才培訓班(特定對象) 第01期,嘉義縣,2022/04/12,2022/05/27,職前
111年度照顧服務員專班(職前班) 第01期,嘉義縣,2022/04/06,2022/07/01,職前
電動載具產業人才培訓班,嘉義縣民雄鄉建國路二段117號,2022/04/01,2022/06/21,青年
創意皮雕製作暨數位行銷應用班(融合式專班) 第01期,嘉義縣,2022/03/31,2022/04/25,職前
西餐烹調訓練班第01期,嘉義縣太保市過溝里八德街692號2樓,2022/03/19,2022/04/19,在職
精緻手作烘焙訓練班 第01期,嘉義縣,2022/03/15,2022/09/12,職前
照顧實作技術訓練班第01期,嘉義縣太保市過溝里八德街692號2樓,2022/03/10,2022/04/10,在職
EXCEL商業應用實務班第01期,嘉義縣太保市過溝里八德街692號二樓,2022/03/09,2022/04/09,在職
朴子職前班 第01期,嘉義縣,2022/03/02,2022/09/07,職前
精緻伴手禮班第01期,嘉義縣朴子市市東路3號,2022/02/28,2022/03/31,在職
嬰幼兒照顧技術訓練班第01期,嘉義縣太保市過溝里1鄰八德街692號二樓,2022/02/19,2022/03/19,在職
米麵點心班第01期,嘉義縣新港鄉登雲路111巷2號,2022/02/11,2022/03/11,在職
照顧服務員專班(水上職前班第1期) 第01期,嘉義縣,2022/02/07,2022/03/14,職前
木工傢俱畫作設計A班第09期,嘉義縣竹崎鄉竹崎村中山路111號,2022/01/21,2022/03/01,在職
中西式點心製作班第01期,嘉義縣東石鄉永屯村屯子頭39-6號,2022/01/20,2022/02/20,在職
義竹職前班 第01期,嘉義縣,2022/01/17,2022/10/12,職前
照顧服務員自訓自用班 第01期,嘉義縣,2022/01/12,2022/04/11,職前
照顧服務員中埔在職假日班 第01期,嘉義縣,2022/01/11,2022/07/23,職前
照顧服務員新港職前平日班 第01期,嘉義縣,2022/01/10,2022/07/18,職前
111年照顧服務員朴子職前班 第01期,嘉義縣,2022/01/03,2022/03/15,職前
照顧服務員專班職前班 第01期,嘉義縣,2022/01/02,2022/04/13,職前
大林職前班第1期 第01期,嘉義縣,2022/01/01,2022/03/09,職前
寵物長照之犬貓經絡按摩實作班第02期,嘉義縣大林鎮南華路１段55號3樓,2021/11/26,2021/12/26,在職
農產應用班第01期,嘉義縣布袋鎮六棟寮40號,2021/11/08,2021/12/22,在職
幸福孕媽咪經絡與舒壓按摩班第01期,嘉義縣太保市過溝里八德街692號2樓,2021/10/30,2021/12/07,在職
"AI, Robot, FinTech金融科技技術冬季培訓班",嘉義縣民雄鄉大學路一段168號,2021/10/30,2021/11/25,青年
銀髮族照顧技術訓練D班第04期,嘉義縣太保市過溝里八德街692號2樓,2021/10/28,2021/12/19,在職
精緻伴手禮班第01期,嘉義縣朴子市市東路3號,2021/10/25,2021/12/02,在職
"AI, Robot, FinTech金融科技技術秋季培訓班",嘉義縣民雄鄉大學路一段168號,2021/09/28,2021/10/05,青年
中餐烹調實務訓練班第01期,嘉義縣太保市過溝里八德街692號1樓,2021/09/24,2021/11/27,在職
園藝景觀栽培訓練班 第01期,嘉義縣,2021/07/27,2021/10/25,職前
"AI, Robot, FinTech金融科技技術暑期培訓班",嘉義縣民雄鄉大學路一段168號,2021/07/26,2021/08/05,青年
房務清潔達人暨特色點心製作培訓班(原住民專班) 第01期,嘉義縣,2021/07/16,2021/11/15,職前
模板工程暨裝潢木工技術培訓班 第01期,嘉義縣,2021/07/16,2021/10/29,職前
照顧服務員專班(布袋職前班第2期) 第02期,嘉義縣,2021/07/12,2021/09/27,職前
服飾平車拷克作業人員訓練班 第01期,嘉義縣,2021/07/05,2021/12/22,職前
托育人員專業訓練班(職前班) 第01期,嘉義縣,2021/06/29,2021/10/30,職前
工業設計電腦繪圖實作班(AutoCAD&SoildWorks),嘉義縣大林鎮南華路一段55號,2021/06/10,2021/06/28,青年
複合式皮雕創作暨縫紉技術培訓班(融合式專班) 第01期,嘉義縣,2021/06/05,2021/10/04,職前
房務整潔暨地方風味小吃人員培訓班(原住民專班) 第01期,嘉義縣,2021/05/12,2021/08/16,職前
照顧服務員專班-新港職前平日班第01期 第01期,嘉義縣,2021/05/10,2021/08/23,職前
照顧服務員專班-鹿草在職假日班第01期 第01期,嘉義縣,2021/05/10,2021/09/25,職前
新世代二輪車維護暨銷售人員培訓班,嘉義縣民雄鄉建國路二段117號,2021/05/01,2022/06/20,青年
手作烘焙甜點咖啡餐車班 第01期,嘉義縣,2021/04/26,2021/09/27,職前
歐式複合西點烘焙班(特定對象)(嘉義縣)第01期 第01期,嘉義縣,2021/04/16,2021/10/01,職前
"AI, Robot, FinTech金融科技技術培訓班",嘉義縣民雄鄉大學路一段168號,2021/04/12,2021/06/29,青年
美容纖體舒壓訓練班(新住民專班) 第01期,嘉義縣,2021/04/10,2021/10/12,職前
米其林指南小吃暨中式經典米食製作訓練班 第01期,嘉義縣,2021/04/07,2021/09/27,職前
照顧服務員水上平日職前班 第01期,嘉義縣,2021/02/01,2021/10/13,職前
照顧服務員民雄平日職前班 第01期,嘉義縣,2021/02/01,2021/09/28,職前
咖啡飲調丙級證照班 第01期,嘉義縣,2020/11/04,2020/12/14,職前
創意手作烘焙班 第01期,嘉義縣,2020/10/12,2020/11/17,職前
資訊行政人員訓練班 第01期,嘉義縣,2020/09/21,2020/10/20,職前
創意西點手作烘焙訓練班(新住民專班) 第01期,嘉義縣,2020/08/28,2020/09/18,職前
"5G, AI及機器人技術與產業應用班",嘉義縣民雄鄉大學路一段168號,2020/08/25,2020/10/22,青年
極速快剪暨整體造型設計創業培訓班(原住民專班) 第01期,嘉義縣,2020/06/04,2020/09/21,職前
照顧服務員專班(職前班第1期) 第01期,嘉義縣,2020/05/01,2020/06/29,職前
(嘉義縣)嘉義傳統美食料理技藝班(特定對象) 第01期,嘉義縣,2020/04/09,2020/06/01,職前
竹崎在職班 第01期,嘉義縣,2020/04/01,2020/07/11,職前
照顧服務員專班-朴子職前班 第01期,嘉義縣,2020/04/01,2020/06/15,職前
托育人員專業訓練班-鹿草在職班 第01期,嘉義縣,2020/03/25,2020/05/30,職前
時尚風采女裝、童裝實務班(融合式專班) 第01期,嘉義縣,2020/03/24,2020/08/24,職前
特色皮革雕刻創作暨產銷履歷行銷運用班(融合式嘉義班) 第01期,嘉義縣,2020/03/03,2020/08/24,職前
照顧服務員專班-新港職前平日班 第01期,嘉義縣,2020/02/25,2020/09/07,職前
照顧服務員專班-鹿草在職假日班 第01期,嘉義縣,2020/02/25,2020/08/22,職前
照顧服務員專班-中埔在職假日班 第01期,嘉義縣,2020/02/25,2020/05/23,職前
照顧服務員職前訓練班-自訓自用班 第01期,嘉義縣,2020/02/21,2020/03/10,職前
照顧服務員民雄平日職前班 第01期,嘉義縣,2020/02/18,2020/08/04,職前
(嘉義縣)歐式複合西點烘焙班(特定對象) 第01期,嘉義縣,2020/02/14,2020/03/09,職前
(嘉義縣)焙茶實務訓練暨茶葉創意飲食技藝班 第01期,嘉義縣,2020/02/14,2020/03/02,職前
照顧服務員專班-朴子班 第01期,嘉義縣,2020/02/03,2020/09/14,職前
照顧服務員專班-水上班 第01期,嘉義縣,2020/02/03,2020/07/13,職前
特色原鄉點心暨糕餅烘焙訓練班(原住民專班) 第01期,嘉義縣,2020/01/21,2020/02/10,職前
照顧服務員水上平日職前班 第01期,嘉義縣,2020/01/14,2020/10/19,職前
托育人員專業訓練班(職前班) 第01期,嘉義縣,2020/01/02,2020/03/14,職前
照顧服務員專班-職前班 第01期,嘉義縣,2020/01/02,2020/04/13,職前
照顧服務員職前訓練班自訓自用 第01期,嘉義縣,2019/09/26,2019/10/14,職前
健康養生烘焙暨特色點心培訓班 第01期,嘉義縣,2019/08/26,2019/09/23,職前
西點烘焙手作咖啡餐車班 第01期,嘉義縣,2019/08/21,2019/09/30,職前
創意西點烘焙暨麵包烘焙丙級證照班 第01期,嘉義縣,2019/08/21,2019/09/25,職前
汽車美容 第03期,嘉義縣,2019/06/13,2019/07/03,職前
照顧服務員專班01期竹崎在職班 第01期,嘉義縣,2019/06/01,2019/07/13,職前
托育人員專業訓練班-鹿草職前班 第01期,嘉義縣,2019/05/30,2019/09/02,職前
托育人員專業訓練班-中埔在職班 第01期,嘉義縣,2019/05/30,2019/06/22,職前
拷克平車服飾應用暨女裝證照班 第01期,嘉義縣,2019/05/27,2019/07/08,職前
(嘉義縣)中華料理訓練班(特定對象) 第01期,嘉義縣,2019/04/25,2019/06/10,職前
美容丙級證照暨新娘秘書整體造型設計訓練班(新住民專班) 第01期,嘉義縣,2019/04/17,2019/09/17,職前
照顧服務員專班01期-中埔職前班 第01期,嘉義縣,2019/04/01,2019/05/21,職前
精緻皮雕創作暨珠繡縫紉技術訓練班(融合式專班) 第05期,嘉義縣,2019/03/25,2019/05/13,職前
汽車美容 第02期,嘉義縣,2019/03/25,2019/04/10,職前
照顧服務員職前朴子班 第01期,嘉義縣,2019/03/11,2019/04/08,職前
特色拼貼暨縫紉製作運用班(原住民專班) 第01期,嘉義縣,2019/03/06,2019/03/25,職前
(嘉義縣)清潔從業人員訓練班 第01期,嘉義縣,2019/02/27,2019/03/25,職前
照顧服務員職前班-六腳班 第02期,嘉義縣,2019/02/20,2019/03/11,職前
(嘉義縣)烘焙綜合訓練班(特定對象) 第01期,嘉義縣,2019/02/13,2019/03/13,職前
照顧服務員專班-中埔在職假日班 第02期,嘉義縣,2019/01/21,2019/09/07,職前
照顧服務員專班-水上職前平日班 第02期,嘉義縣,2019/01/21,2019/06/18,職前
照顧服務員專班-朴子在職假日班 第01期,嘉義縣,2019/01/21,2019/04/13,職前
照顧服務員專班-大林職前平日班 第01期,嘉義縣,2019/01/21,2019/03/19,職前
照顧服務員專班01期-水上職前班 第01期,嘉義縣,2019/01/02,2019/04/15,職前
照顧服務員專班01期-水上職前班 第01期,嘉義縣,2018/12/28,2019/01/14,職前
